id_equip_urbano,id_espacio,ambito,condicion,geografico,tipo,nombre
6296,3697,Urbana,En Operación,Escuela,Preescolar,María Guadalupe de Alba
6297,2950,Urbana,En Operación,Escuela,Preescolar,Vito Alessio Robledo
6298,1112,Urbana,En Operación,Templo,No Aplica,Capilla Divina Providencia
6299,3860,Urbana,En Operación,Escuela,Mixto,Colegio Nacional de Matemáticas
6300,3861,Urbana,En Operación,Templo,No Aplica,Capilla San Francisco
6301,1192,Urbana,En Operación,Escuela,Mixto,Colegio Amsterdam
6302,1181,Urbana,En Operación,Escuela,Mixto,Colegio Einstein
6303,6584,Urbana,En Operación,Escuela,Primaria,República de Finlandia
6304,6585,Urbana,En Operación,Escuela,Preescolar,Francisco Márquez
6305,6480,Urbana,En Operación,Escuela,Primaria,Saúl M. Carasso
6306,6460,Urbana,En Operación,Escuela,Secundaria,Artes Decorativas Número 17
6307,3827,Urbana,En Operación,Escuela,Mixto,Instituto Cultural Educativo
6308,1096,Urbana,En Operación,Templo,No Aplica,Capilla Santa Catarina
6309,1097,Urbana,En Operación,Escuela,Preescolar,Guadalupe Servin de la Mora
6310,1098,Urbana,En Operación,Templo,No Aplica,Capilla San Antonio Panzacola
6311,3930,Urbana,En Operación,Templo,No Aplica,Parroquia Padre de las Misericordias y San Rafael
6312,3931,Urbana,En Operación,Escuela,Mixto,Instituto Valle del Sur
6313,3932,Urbana,En Operación,Escuela,Preescolar,Jean Piaget
6314,3933,Urbana,En Operación,Escuela,Primaria,Ingeniero Vito Alessio Robles
6315,3924,Urbana,En Operación,Escuela,Primaria,Prado Churubusco
6316,3925,Urbana,En Operación,Escuela,Mixto,Colegio Salvador Dalí
6317,3926,Urbana,En Operación,Escuela,Primaria,Eva Samano de López Mateos
6318,6481,Urbana,En Operación,Escuela,Preescolar,Colegio Keppler
6319,3786,Urbana,En Operación,Escuela,Superior,Escuela Nacional de Música UNAM
6320,3787,Urbana,En Operación,Escuela,Preescolar,Escuela Internacional
6321,3828,Urbana,En Operación,Templo,No Aplica,Gethsemaní
6322,1106,Urbana,En Operación,Escuela,Superior,Escuela Normal de México
6323,1107,Urbana,En Operación,Escuela,Medio Superior,Centro de Excelencia Académica Excela
6324,1108,Urbana,En Operación,Escuela,Preescolar,Dolores Guerrero
6325,7118,Urbana,No Aplica,Instalación Gubernamental,Palacio Municipal,Secretaría de Hacienda y Crédito Público
6326,4595,Urbana,En Operación,Templo,No Aplica,Capilla Sagrada Familia
6327,3897,Urbana,En Operación,Escuela,Preescolar,Amelia Arellano
6328,6488,Urbana,En Operación,Escuela,Secundaria,David Alfaro Siqueiros Número 149
6329,2691,Urbana,En Operación,Escuela,Primaria,Tlamatini
6330,2692,Urbana,En Operación,Escuela,Preescolar,Rafael Dondé
6331,2693,Urbana,En Operación,Templo,No Aplica,Capilla Cristo Rey y Nuestra Señora del Refugio
6332,2694,Urbana,En Operación,Escuela,Preescolar,Hermelinda Bermúdez Seyssel
6333,5692,Urbana,En Operación,Escuela,Secundaria,José Enrique Rodo Número 139
6334,5693,Urbana,En Operación,Escuela,Primaria,República de Senegal
