id_tiempo,anio,trimestre,mes,semana_mes,semana_anio,dia_semana,dia,hora,minuto
200603159999,2006,1,3,3,11,Miércoles,15,99,99
200603169999,2006,1,3,3,11,Jueves,16,99,99
200603179999,2006,1,3,3,11,Viernes,17,99,99
200603189999,2006,1,3,3,11,Sábado,18,99,99
200603199999,2006,1,3,3,11,Domingo,19,99,99
200603209999,2006,1,3,4,12,Lunes,20,99,99
200603219999,2006,1,3,4,12,Martes,21,99,99
200603229999,2006,1,3,4,12,Miércoles,22,99,99
200603239999,2006,1,3,4,12,Jueves,23,99,99
200603249999,2006,1,3,4,12,Viernes,24,99,99
200603259999,2006,1,3,4,12,Sábado,25,99,99
200603269999,2006,1,3,4,12,Domingo,26,99,99
200603279999,2006,1,3,5,13,Lunes,27,99,99
200603289999,2006,1,3,5,13,Martes,28,99,99
200603299999,2006,1,3,5,13,Miércoles,29,99,99
200603309999,2006,1,3,5,13,Jueves,30,99,99
200603319999,2006,1,3,5,13,Viernes,31,99,99
200604019999,2006,2,4,1,13,Sábado,1,99,99
200604029999,2006,2,4,1,13,Domingo,2,99,99
200604039999,2006,2,4,2,14,Lunes,3,99,99
200604049999,2006,2,4,2,14,Martes,4,99,99
200604059999,2006,2,4,2,14,Miércoles,5,99,99
200604069999,2006,2,4,2,14,Jueves,6,99,99
200604079999,2006,2,4,2,14,Viernes,7,99,99
200604089999,2006,2,4,2,14,Sábado,8,99,99
200604099999,2006,2,4,2,14,Domingo,9,99,99
200604109999,2006,2,4,3,15,Lunes,10,99,99
200604119999,2006,2,4,3,15,Martes,11,99,99
200604129999,2006,2,4,3,15,Miércoles,12,99,99
200604139999,2006,2,4,3,15,Jueves,13,99,99
200604149999,2006,2,4,3,15,Viernes,14,99,99
200604159999,2006,2,4,3,15,Sábado,15,99,99
200604169999,2006,2,4,3,15,Domingo,16,99,99
200604179999,2006,2,4,4,16,Lunes,17,99,99
200604189999,2006,2,4,4,16,Martes,18,99,99
200604199999,2006,2,4,4,16,Miércoles,19,99,99
200604209999,2006,2,4,4,16,Jueves,20,99,99
200604219999,2006,2,4,4,16,Viernes,21,99,99
200604229999,2006,2,4,4,16,Sábado,22,99,99
200604239999,2006,2,4,4,16,Domingo,23,99,99
200604249999,2006,2,4,5,17,Lunes,24,99,99
200604259999,2006,2,4,5,17,Martes,25,99,99
200604269999,2006,2,4,5,17,Miércoles,26,99,99
200604279999,2006,2,4,5,17,Jueves,27,99,99
